Metric,Value
Total Nulls Before Integration,13950.0
Total Nulls After Integration,23451.0
Ground Truth Nulls,8300.0
Null Value Score (Integrated Table),9501.0
Null Value Score (Ground Truth Table),-5650.0
Percentage Change in Nulls (Integrated Table),68.10752688172043
Percentage Change in Nulls (Ground Truth Table),-40.50179211469534
