composite_key,description
35210.0_nan,True
35220.0_nan,True
35230.0_nan,True
35300.0_nan,True
36000.0_nan,True
37000.0_nan,True
38110.0_nan,True
38120.0_nan,True
38210.0_nan,True
38220.0_nan,True
38310.0_nan,True
38320.0_nan,True
39000.0_nan,True
41100.0_nan,True
41201.0_nan,True
41202.0_nan,True
42110.0_nan,True
42120.0_nan,True
42130.0_nan,True
42210.0_nan,True
42220.0_nan,True
42910.0_nan,True
42990.0_nan,True
43110.0_nan,True
43120.0_nan,True
43130.0_nan,True
43210.0_nan,True
43220.0_nan,True
43290.0_nan,True
43310.0_nan,True
43320.0_nan,True
43330.0_nan,True
43341.0_nan,True
43342.0_nan,True
43390.0_nan,True
43910.0_nan,True
43991.0_nan,True
43999.0_nan,True
45111.0_nan,True
45112.0_nan,True
45190.0_nan,True
45200.0_nan,True
45310.0_nan,True
45320.0_nan,True
45400.0_nan,True
46110.0_nan,True
46120.0_nan,True
46130.0_nan,True
46140.0_nan,True
46150.0_nan,True
46160.0_nan,True
46170.0_nan,True
46180.0_nan,True
46190.0_nan,True
46210.0_nan,True
46220.0_nan,True
46230.0_nan,True
46240.0_nan,True
46310.0_nan,True
46320.0_nan,True
46330.0_nan,True
46341.0_nan,True
46342.0_nan,True
46350.0_nan,True
46360.0_nan,True
46370.0_nan,True
46380.0_nan,True
46390.0_nan,True
46410.0_nan,True
46420.0_nan,True
46431.0_nan,True
46439.0_nan,True
46440.0_nan,True
46450.0_nan,True
46460.0_nan,True
46470.0_nan,True
46480.0_nan,True
46491.0_nan,True
46499.0_nan,True
46510.0_nan,True
46520.0_nan,True
46610.0_nan,True
46620.0_nan,True
46630.0_nan,True
46640.0_nan,True
46650.0_nan,True
46660.0_nan,True
46690.0_nan,True
46711.0_nan,True
46719.0_nan,True
46720.0_nan,True
46730.0_nan,True
46740.0_nan,True
46750.0_nan,True
46760.0_nan,True
46770.0_nan,True
46900.0_nan,True
47110.0_nan,True
47190.0_nan,True
47210.0_nan,True
47220.0_nan,True
47230.0_nan,True
47240.0_nan,True
47250.0_nan,True
47260.0_nan,True
47290.0_nan,True
47300.0_nan,True
47410.0_nan,True
47421.0_nan,True
47429.0_nan,True
47430.0_nan,True
47510.0_nan,True
47520.0_nan,True
47530.0_nan,True
47540.0_nan,True
47591.0_nan,True
47599.0_nan,True
47610.0_nan,True
47620.0_nan,True
47630.0_nan,True
47640.0_nan,True
47650.0_nan,True
47710.0_nan,True
47721.0_nan,True
47722.0_nan,True
47730.0_nan,True
47741.0_nan,True
47749.0_nan,True
47750.0_nan,True
47760.0_nan,True
47770.0_nan,True
47781.0_nan,True
47782.0_nan,True
47789.0_nan,True
47791.0_nan,True
47799.0_nan,True
47810.0_nan,True
47820.0_nan,True
47890.0_nan,True
47910.0_nan,True
47990.0_nan,True
49100.0_nan,True
49200.0_nan,True
49311.0_nan,True
49319.0_nan,True
49320.0_nan,True
49390.0_nan,True
49410.0_nan,True
49420.0_nan,True
49500.0_nan,True
50100.0_nan,True
50200.0_nan,True
50300.0_nan,True
50400.0_nan,True
51101.0_nan,True
51102.0_nan,True
51210.0_nan,True
51220.0_nan,True
52101.0_nan,True
52102.0_nan,True
52103.0_nan,True
52211.0_nan,True
52212.0_nan,True
52213.0_nan,True
52219.0_nan,True
52220.0_nan,True
52230.0_nan,True
52241.0_nan,True
52242.0_nan,True
52243.0_nan,True
52290.0_nan,True
53100.0_nan,True
53201.0_nan,True
53202.0_nan,True
55100.0_nan,True
55201.0_nan,True
55202.0_nan,True
55209.0_nan,True
55300.0_nan,True
55900.0_nan,True
56101.0_nan,True
56102.0_nan,True
56103.0_nan,True
56210.0_nan,True
56290.0_nan,True
56301.0_nan,True
56302.0_nan,True
58110.0_nan,True
58120.0_nan,True
58130.0_nan,True
58141.0_nan,True
58142.0_nan,True
58190.0_nan,True
58210.0_nan,True
58290.0_nan,True
59111.0_nan,True
59112.0_nan,True
59113.0_nan,True
59120.0_nan,True
59131.0_nan,True
59132.0_nan,True
59133.0_nan,True
59140.0_nan,True
59200.0_nan,True
60100.0_nan,True
60200.0_nan,True
61100.0_nan,True
61200.0_nan,True
61300.0_nan,True
61900.0_nan,True
62011.0_nan,True
62012.0_nan,True
62020.0_nan,True
62030.0_nan,True
62090.0_nan,True
63110.0_nan,True
63120.0_nan,True
63910.0_nan,True
63990.0_nan,True
64110.0_nan,True
64191.0_nan,True
64192.0_nan,True
64201.0_nan,True
64202.0_nan,True
64203.0_nan,True
64204.0_nan,True
64205.0_nan,True
64209.0_nan,True
64301.0_nan,True
64302.0_nan,True
64303.0_nan,True
64304.0_nan,True
64305.0_nan,True
64306.0_nan,True
64910.0_nan,True
64921.0_nan,True
64922.0_nan,True
64929.0_nan,True
64991.0_nan,True
64992.0_nan,True
64999.0_nan,True
65110.0_nan,True
65120.0_nan,True
65201.0_nan,True
65202.0_nan,True
65300.0_nan,True
66110.0_nan,True
66120.0_nan,True
66190.0_nan,True
66210.0_nan,True
66220.0_nan,True
66290.0_nan,True
66300.0_nan,True
68100.0_nan,True
68201.0_nan,True
68202.0_nan,True
68209.0_nan,True
68310.0_nan,True
68320.0_nan,True
69101.0_nan,True
69102.0_nan,True
69109.0_nan,True
69201.0_nan,True
69202.0_nan,True
69203.0_nan,True
70100.0_nan,True
70210.0_nan,True
70221.0_nan,True
70229.0_nan,True
71111.0_nan,True
71112.0_nan,True
71121.0_nan,True
