Metric,Value
Total Nulls Before Integration,36681.0
Total Nulls After Integration,109.0
Ground Truth Nulls,109.0
Null Value Score (Integrated Table),-36572.0
Null Value Score (Ground Truth Table),-36572.0
Percentage Change in Nulls (Integrated Table),-99.70284343393038
Percentage Change in Nulls (Ground Truth Table),-99.70284343393038
